ML,100,1000
Whole milk, calcium (tricalcium phosphate), iron (ferric pyrophosphate), zinc (zinc sulfate), lactase enzyme, vitamin C (ascorbic acid), vitamin E (DL-alpha-tocopheryl acetate), vitamin A (retinyl acetate), vitamin D (cholecalciferol), sodium citrate, sodium triphosphate, sodium phosphate monobasic, sodium phosphate dibasic
Dairy
Energy value,59,3
Carbohydrates,4.4,1
Sugars,4.4,0
Glucose,2.2,0
Galactose,2.2,0
Lactose,0,0
Proteins,3.1,4
Total fat,3.2,6
Saturated fat,2.0,9
Sodium,63,3
Calcium,150,15
Iron,2.1,15
